"Position","Name","Profile Link"
287,"Narayan Kaji Shrestha","https://en.wikipedia.org/wiki/Narayan_Kaji_Shrestha"
288,"Shashi Shrestha","https://en.wikipedia.org/wiki/Shashi_Shrestha"
289,"Arjun Jang Bahadur Singh","https://en.wikipedia.org/wiki/Arjun_Jang_Bahadur_Singh"
290,"Baban Singh","https://en.wikipedia.org/wiki/Baban_Singh"
291,"Ganesh Man Singh","https://en.wikipedia.org/wiki/Ganesh_Man_Singh"
292,"Harka Bahadur Singh","https://en.wikipedia.org/wiki/Harka_Bahadur_Singh"
293,"Kunwar Inderjit Singh","https://en.wikipedia.org/wiki/Kunwar_Inderjit_Singh"
294,"Prakash Man Singh","https://en.wikipedia.org/wiki/Prakash_Man_Singh"
295,"Prem Bahadur Singh","https://en.wikipedia.org/wiki/Prem_Bahadur_Singh"
296,"Prem Lal Singh","https://en.wikipedia.org/wiki/Prem_Lal_Singh"
297,"Lila Kumari Bagale Somai","https://en.wikipedia.org/wiki/Lila_Kumari_Bagale_Somai"
298,"Sukra Raj Sonyok (Songyokpa)","https://en.wikipedia.org/wiki/Sukra_Raj_Sonyok_(Songyokpa)"
299,"Jhakku Prasad Subedi","https://en.wikipedia.org/wiki/Jhakku_Prasad_Subedi"
300,"Purna Kumari Subedi","https://en.wikipedia.org/wiki/Purna_Kumari_Subedi"
301,"Ram Hari Subedi","https://en.wikipedia.org/wiki/Ram_Hari_Subedi"
302,"Sita Subedi","https://en.wikipedia.org/wiki/Sita_Subedi"
